"actor","type","actor_id","ideo"
"allisonkilkenny","Journalist","14752085","-0.6784592522951057"
"SenSanders","Politician","29442313","-0.7611636469306394"
"yashar","Journalist","11744152","0.5621066672378998"
"chrislhayes","Journalist","4207961","-0.3080873980577156"
"joanwalsh","Journalist","1106501","-0.7827387064007784"
"MartinHeinrich","Politician","1099199839","-0.7899303928908249"
"peterdaou","Journalist","18464266","-0.3134811629252504"
"TUSK81","Journalist","14526877","-1.2250274255386329"
"rdevro","Journalist","25946632","-0.6532883495799432"
"samstein","Journalist","15463671","0.7616759673366877"
"keithboykin","Journalist","21728303","-1.3131255850417012"
"axios","Media","800707492346925056","0.4740085077348313"
"nytimes","Media","807095","-0.93404"
"michelleinbklyn","Journalist","212657985","-0.19661625746199635"
"ryanjreilly","Journalist","7768402","0.4578272131322269"
"SenatorTomUdall","Politician","60828944","0.17914936164292852"
"ktumulty","Journalist","14270650","0.5728941969729694"
"repblumenauer","Politician","15954997","-0.9049973767315672"
"TimOBrien","Journalist","20742461","-0.8079096091159408"
"EricBoehlert","Journalist","34643610","-0.7881324712683133"
"CBSNews","Media","15012486","-0.4752941089512945"
"theintercept","Media","2329066872","-0.852857649678731"
"Jemima_Khan","Journalist","94628304","-0.08334719524376531"
"RichardEngel","Journalist","47438401","-0.10851809795892776"
"letsgomathias","Journalist","127950286","-0.676661330672594"
"shaunking","Journalist","755113","-1.2735713093464458"
"AliAbunimah","Journalist","16799023","-0.8942098469964977"
"dats","Journalist","38002103","-0.1696474331243223"
"thinkprogress","Media","55355654","-0.9481474956718458"
"KFILE","Journalist","326255267","0.4632209779997617"
"LEBassett","Journalist","77852581","-0.17144535474683387"
"hughhewitt","Journalist","15075999","1.7127765056453248"
"jimsciutto","Journalist","22129280","0.4650188996222733"
"Acosta","Journalist","22771961","0.2600558346559507"
"BCAppelbaum","Journalist","87271106","0.11442418323251087"
"RepJoeKennedy","Politician","1055907624","-0.5004650116664571"
"anneapplebaum","Journalist","297100174","0.06588029942469759"
"RepSwalwell","Politician","942156122","-0.1732432763693455"
"Fahrenthold","Journalist","61734492","1.3477984162754697"
"isaacstonefish","Journalist","70547127","0.1198179481000457"
"RepTedLieu","Politician","3044993235","0.6591944348535262"
"mattwilstein","Journalist","86870268","-0.19661625746199635"
"JessicaValenti","Journalist","4099171","-1.507301120272954"
"RepKarenBass","Politician","239949176","-0.4555169711036669"
"TIME","Media","14293310","0.6933549456812468"
"BecketAdams","Journalist","454119389","3.1385283522970253"
"SenGillibrand","Politician","72198806","-1.0038830659697058"
"rkylesmith","Journalist","14133760","1.3909485352157482"
